행정구역,총인구수
경기도,13730135
서울특별시,9299548
부산광역시,3241600
경상남도,3207383
인천광역시,3051961
경상북도,2506526
대구광역시,2353032
충청남도,2136753
전라남도,1779135
전북특별자치도,1724856
충청북도,1596502
강원특별자치도,1508500
대전광역시,1440729
광주광역시,1392013
울산광역시,1091948
제주특별자치도,664792
세종특별자치시,391965
